,id,geographic_area_name,estimate_total,estimate_total_car_truck_or_van,estimate_total_public_transportation,estimate_total_public_transportation_bus,estimate_total_public_transportation_subway_or_elevated_rail,estimate_total_public_transportation_long_distance_train_or_commuter_rail,estimate_total_public_transportation_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_ferryboat,estimate_total_taxicab,estimate_total_motorcycle,estimate_total_bicycle,estimate_total_walked,estimate_total_other_means,estimate_total_worked_from_home,Geoid
349,1500000US530330096002,"Block Group 2, Census Tract 96, King County, Washington",794,498,150,150,0,0,0,0,0,0,0,51,0,95,530330096002
350,1500000US530330096003,"Block Group 3, Census Tract 96, King County, Washington",447,342,31,31,0,0,0,0,0,0,13,0,0,61,530330096003
351,1500000US530330096004,"Block Group 4, Census Tract 96, King County, Washington",680,558,109,57,0,52,0,0,0,0,0,0,13,0,530330096004
352,1500000US530330096005,"Block Group 5, Census Tract 96, King County, Washington",641,432,77,48,0,0,0,29,0,0,36,0,0,96,530330096005
353,1500000US530330097011,"Block Group 1, Census Tract 97.01, King County, Washington",1183,763,100,83,17,0,0,0,0,0,20,72,0,228,530330097011
354,1500000US530330097012,"Block Group 2, Census Tract 97.01, King County, Washington",568,372,71,53,0,0,0,18,0,0,73,0,0,52,530330097012
355,1500000US530330097013,"Block Group 3, Census Tract 97.01, King County, Washington",736,572,34,34,0,0,0,0,0,0,40,0,18,72,530330097013
356,1500000US530330097014,"Block Group 4, Census Tract 97.01, King County, Washington",981,754,110,82,0,0,0,28,0,0,0,0,0,117,530330097014
357,1500000US530330097021,"Block Group 1, Census Tract 97.02, King County, Washington",683,411,147,147,0,0,0,0,0,0,0,0,0,125,530330097021
358,1500000US530330097022,"Block Group 2, Census Tract 97.02, King County, Washington",700,385,116,116,0,0,0,0,0,0,24,63,0,112,530330097022
359,1500000US530330097023,"Block Group 3, Census Tract 97.02, King County, Washington",435,355,26,26,0,0,0,0,0,0,9,0,15,30,530330097023
360,1500000US530330097024,"Block Group 4, Census Tract 97.02, King County, Washington",511,352,60,45,0,0,0,15,0,21,19,48,0,11,530330097024
361,1500000US530330097025,"Block Group 5, Census Tract 97.02, King County, Washington",766,568,106,85,0,0,0,21,0,0,0,17,0,75,530330097025
362,1500000US530330098001,"Block Group 1, Census Tract 98, King County, Washington",869,576,148,148,0,0,0,0,0,0,8,40,0,97,530330098001
363,1500000US530330098002,"Block Group 2, Census Tract 98, King County, Washington",646,367,155,125,0,0,0,30,0,0,44,0,18,62,530330098002
364,1500000US530330098003,"Block Group 3, Census Tract 98, King County, Washington",797,624,132,117,0,15,0,0,0,0,0,0,0,41,530330098003
365,1500000US530330098004,"Block Group 4, Census Tract 98, King County, Washington",1016,713,183,183,0,0,0,0,0,0,0,18,0,102,530330098004
366,1500000US530330098005,"Block Group 5, Census Tract 98, King County, Washington",849,532,141,125,0,0,0,16,0,0,29,96,0,51,530330098005
367,1500000US530330099001,"Block Group 1, Census Tract 99, King County, Washington",727,448,195,195,0,0,0,0,0,0,19,45,0,20,530330099001
368,1500000US530330099002,"Block Group 2, Census Tract 99, King County, Washington",923,759,101,101,0,0,0,0,0,0,20,14,0,29,530330099002
369,1500000US530330099003,"Block Group 3, Census Tract 99, King County, Washington",1081,719,301,282,0,0,0,19,0,0,0,26,10,25,530330099003
370,1500000US530330099004,"Block Group 4, Census Tract 99, King County, Washington",962,814,90,75,0,0,0,15,0,0,0,16,0,42,530330099004
371,1500000US530330100011,"Block Group 1, Census Tract 100.01, King County, Washington",701,373,259,85,70,18,86,0,0,0,34,0,0,35,530330100011
372,1500000US530330100012,"Block Group 2, Census Tract 100.01, King County, Washington",731,417,178,167,11,0,0,0,0,10,28,68,4,26,530330100012
373,1500000US530330100013,"Block Group 3, Census Tract 100.01, King County, Washington",613,251,205,88,99,0,18,0,10,0,0,38,51,58,530330100013
374,1500000US530330100021,"Block Group 1, Census Tract 100.02, King County, Washington",471,311,116,23,63,0,30,0,0,0,20,9,0,15,530330100021
375,1500000US530330100022,"Block Group 2, Census Tract 100.02, King County, Washington",1027,603,315,193,62,0,60,0,0,11,19,9,9,61,530330100022
376,1500000US530330100023,"Block Group 3, Census Tract 100.02, King County, Washington",381,203,133,60,64,0,9,0,0,0,0,17,0,28,530330100023
377,1500000US530330100024,"Block Group 4, Census Tract 100.02, King County, Washington",924,548,309,157,124,7,21,0,0,0,0,0,19,48,530330100024
378,1500000US530330101001,"Block Group 1, Census Tract 101, King County, Washington",607,338,78,0,27,20,31,0,0,34,35,0,0,122,530330101001
379,1500000US530330101002,"Block Group 2, Census Tract 101, King County, Washington",694,530,122,84,0,0,38,0,0,0,0,0,0,42,530330101002
380,1500000US530330101003,"Block Group 3, Census Tract 101, King County, Washington",827,428,304,198,42,40,24,0,0,0,18,0,0,77,530330101003
381,1500000US530330101004,"Block Group 4, Census Tract 101, King County, Washington",1177,612,484,398,36,0,50,0,0,0,37,13,31,0,530330101004
382,1500000US530330101005,"Block Group 5, Census Tract 101, King County, Washington",1326,612,226,172,39,0,15,0,0,0,56,78,52,302,530330101005
383,1500000US530330102001,"Block Group 1, Census Tract 102, King County, Washington",868,564,171,72,46,7,46,0,0,0,35,0,35,63,530330102001
384,1500000US530330102002,"Block Group 2, Census Tract 102, King County, Washington",412,286,84,25,18,0,41,0,0,0,0,0,24,18,530330102002
385,1500000US530330102003,"Block Group 3, Census Tract 102, King County, Washington",756,436,88,47,19,13,9,0,0,13,41,0,14,164,530330102003
386,1500000US530330102004,"Block Group 4, Census Tract 102, King County, Washington",814,529,180,27,97,0,56,0,0,9,8,7,16,65,530330102004
387,1500000US530330103001,"Block Group 1, Census Tract 103, King County, Washington",459,324,67,42,25,0,0,0,0,11,31,18,0,8,530330103001
388,1500000US530330103002,"Block Group 2, Census Tract 103, King County, Washington",625,429,138,108,0,0,30,0,0,0,18,26,0,14,530330103002
389,1500000US530330103003,"Block Group 3, Census Tract 103, King County, Washington",989,852,104,90,14,0,0,0,0,0,0,0,19,14,530330103003
390,1500000US530330103004,"Block Group 4, Census Tract 103, King County, Washington",1226,689,412,172,116,0,124,0,0,0,0,13,13,99,530330103004
391,1500000US530330103005,"Block Group 5, Census Tract 103, King County, Washington",829,329,346,104,188,0,54,0,0,15,49,14,0,76,530330103005
392,1500000US530330104011,"Block Group 1, Census Tract 104.01, King County, Washington",454,247,89,27,23,0,39,0,0,13,0,53,0,52,530330104011
393,1500000US530330104012,"Block Group 2, Census Tract 104.01, King County, Washington",1159,883,213,130,57,0,26,0,0,0,19,20,0,24,530330104012
394,1500000US530330104013,"Block Group 3, Census Tract 104.01, King County, Washington",673,478,124,90,26,0,8,0,0,0,11,12,0,48,530330104013
395,1500000US530330104021,"Block Group 1, Census Tract 104.02, King County, Washington",897,637,209,185,16,0,8,0,0,0,14,16,10,11,530330104021
396,1500000US530330104022,"Block Group 2, Census Tract 104.02, King County, Washington",857,726,98,98,0,0,0,0,0,0,0,9,0,24,530330104022
397,1500000US530330104023,"Block Group 3, Census Tract 104.02, King County, Washington",511,326,123,82,11,0,30,0,0,0,0,0,0,62,530330104023
398,1500000US530330104024,"Block Group 4, Census Tract 104.02, King County, Washington",646,412,171,163,8,0,0,0,0,0,24,0,0,39,530330104024
399,1500000US530330105001,"Block Group 1, Census Tract 105, King County, Washington",589,325,232,150,0,0,82,0,0,0,0,0,0,32,530330105001
400,1500000US530330105002,"Block Group 2, Census Tract 105, King County, Washington",865,524,184,184,0,0,0,0,0,0,0,69,0,88,530330105002
401,1500000US530330105003,"Block Group 3, Census Tract 105, King County, Washington",640,445,136,136,0,0,0,0,0,14,9,0,0,36,530330105003
402,1500000US530330105004,"Block Group 4, Census Tract 105, King County, Washington",2709,1407,662,662,0,0,0,0,0,0,100,131,64,345,530330105004
403,1500000US530330105005,"Block Group 5, Census Tract 105, King County, Washington",1121,713,381,381,0,0,0,0,0,0,0,0,0,27,530330105005
404,1500000US530330106001,"Block Group 1, Census Tract 106, King County, Washington",955,618,174,174,0,0,0,0,0,0,20,49,0,94,530330106001
405,1500000US530330106002,"Block Group 2, Census Tract 106, King County, Washington",961,613,166,166,0,0,0,0,0,0,14,47,0,121,530330106002
406,1500000US530330106003,"Block Group 3, Census Tract 106, King County, Washington",990,573,235,235,0,0,0,0,0,0,16,33,18,115,530330106003
407,1500000US530330106004,"Block Group 4, Census Tract 106, King County, Washington",767,520,90,72,0,0,0,18,0,0,0,51,13,93,530330106004
408,1500000US530330106005,"Block Group 5, Census Tract 106, King County, Washington",805,548,43,43,0,0,0,0,0,0,0,50,0,164,530330106005
409,1500000US530330106006,"Block Group 6, Census Tract 106, King County, Washington",749,444,228,228,0,0,0,0,0,0,18,30,0,29,530330106006
410,1500000US530330107011,"Block Group 1, Census Tract 107.01, King County, Washington",1394,928,354,354,0,0,0,0,0,0,11,24,27,50,530330107011
411,1500000US530330107012,"Block Group 2, Census Tract 107.01, King County, Washington",821,482,238,227,0,0,0,11,0,0,32,0,0,69,530330107012
412,1500000US530330107021,"Block Group 1, Census Tract 107.02, King County, Washington",749,509,168,168,0,0,0,0,0,0,13,0,0,59,530330107021
413,1500000US530330107022,"Block Group 2, Census Tract 107.02, King County, Washington",638,431,132,132,0,0,0,0,0,0,0,42,0,33,530330107022
414,1500000US530330107023,"Block Group 3, Census Tract 107.02, King County, Washington",522,354,122,114,8,0,0,0,0,30,0,1,0,15,530330107023
415,1500000US530330108001,"Block Group 1, Census Tract 108, King County, Washington",792,517,128,128,0,0,0,0,0,0,9,7,0,131,530330108001
416,1500000US530330108002,"Block Group 2, Census Tract 108, King County, Washington",665,492,107,107,0,0,0,0,0,0,0,27,0,39,530330108002
417,1500000US530330108003,"Block Group 3, Census Tract 108, King County, Washington",1192,942,178,178,0,0,0,0,0,0,0,35,11,26,530330108003
418,1500000US530330109001,"Block Group 1, Census Tract 109, King County, Washington",435,257,73,73,0,0,0,0,7,0,42,7,0,49,530330109001
419,1500000US530330109002,"Block Group 2, Census Tract 109, King County, Washington",281,190,69,69,0,0,0,0,0,6,0,0,0,16,530330109002
420,1500000US530330110011,"Block Group 1, Census Tract 110.01, King County, Washington",617,344,136,87,31,0,18,0,0,10,0,8,0,119,530330110011
421,1500000US530330110012,"Block Group 2, Census Tract 110.01, King County, Washington",432,297,54,28,0,0,26,0,0,0,0,10,49,22,530330110012
422,1500000US530330110013,"Block Group 3, Census Tract 110.01, King County, Washington",911,580,238,26,110,0,102,0,0,0,21,8,0,64,530330110013
423,1500000US530330110021,"Block Group 1, Census Tract 110.02, King County, Washington",581,401,133,133,0,0,0,0,0,44,3,0,0,0,530330110021
424,1500000US530330110022,"Block Group 2, Census Tract 110.02, King County, Washington",892,610,188,168,20,0,0,0,0,0,7,57,0,30,530330110022
425,1500000US530330110023,"Block Group 3, Census Tract 110.02, King County, Washington",684,516,162,162,0,0,0,0,0,0,0,0,0,6,530330110023
426,1500000US530330111011,"Block Group 1, Census Tract 111.01, King County, Washington",525,352,142,59,60,0,23,0,0,0,0,8,12,11,530330111011
427,1500000US530330111012,"Block Group 2, Census Tract 111.01, King County, Washington",1041,629,339,65,106,18,150,0,0,9,10,11,3,40,530330111012
428,1500000US530330111013,"Block Group 3, Census Tract 111.01, King County, Washington",761,466,271,53,101,0,117,0,0,0,0,13,11,0,530330111013
429,1500000US530330111014,"Block Group 4, Census Tract 111.01, King County, Washington",597,496,101,63,38,0,0,0,0,0,0,0,0,0,530330111014
430,1500000US530330111021,"Block Group 1, Census Tract 111.02, King County, Washington",815,532,176,50,56,0,70,0,0,0,0,18,0,89,530330111021
431,1500000US530330111022,"Block Group 2, Census Tract 111.02, King County, Washington",617,434,147,132,15,0,0,0,0,0,0,14,0,22,530330111022
432,1500000US530330111023,"Block Group 3, Census Tract 111.02, King County, Washington",611,475,61,51,10,0,0,0,0,0,11,20,0,44,530330111023
433,1500000US530330111024,"Block Group 4, Census Tract 111.02, King County, Washington",642,446,122,53,0,19,50,0,0,0,0,0,0,74,530330111024
434,1500000US530330112001,"Block Group 1, Census Tract 112, King County, Washington",572,414,120,100,0,0,20,0,0,0,0,31,0,7,530330112001
435,1500000US530330112002,"Block Group 2, Census Tract 112, King County, Washington",437,301,76,66,9,0,1,0,0,0,9,51,0,0,530330112002
436,1500000US530330112003,"Block Group 3, Census Tract 112, King County, Washington",761,468,213,171,0,0,42,0,0,0,7,49,13,11,530330112003
437,1500000US530330113001,"Block Group 1, Census Tract 113, King County, Washington",803,605,130,130,0,0,0,0,0,0,0,0,0,68,530330113001
438,1500000US530330113002,"Block Group 2, Census Tract 113, King County, Washington",939,802,95,95,0,0,0,0,0,0,0,0,0,42,530330113002
439,1500000US530330113003,"Block Group 3, Census Tract 113, King County, Washington",775,657,56,41,0,0,0,15,0,0,0,48,0,14,530330113003
440,1500000US530330113004,"Block Group 4, Census Tract 113, King County, Washington",433,320,66,66,0,0,0,0,0,0,37,10,0,0,530330113004
441,1500000US530330113005,"Block Group 5, Census Tract 113, King County, Washington",631,448,139,139,0,0,0,0,0,0,22,5,0,17,530330113005
442,1500000US530330114011,"Block Group 1, Census Tract 114.01, King County, Washington",830,597,180,180,0,0,0,0,0,0,0,0,8,45,530330114011
443,1500000US530330114012,"Block Group 2, Census Tract 114.01, King County, Washington",912,554,300,300,0,0,0,0,0,0,0,11,0,47,530330114012
444,1500000US530330114013,"Block Group 3, Census Tract 114.01, King County, Washington",872,611,162,162,0,0,0,0,0,0,0,7,7,85,530330114013
445,1500000US530330114021,"Block Group 1, Census Tract 114.02, King County, Washington",921,628,170,170,0,0,0,0,0,0,9,32,24,58,530330114021
446,1500000US530330114022,"Block Group 2, Census Tract 114.02, King County, Washington",844,541,204,204,0,0,0,0,0,0,0,32,0,67,530330114022
447,1500000US530330114023,"Block Group 3, Census Tract 114.02, King County, Washington",683,524,117,117,0,0,0,0,11,0,0,7,0,24,530330114023
448,1500000US530330115001,"Block Group 1, Census Tract 115, King County, Washington",1042,707,220,212,0,0,8,0,0,8,48,0,0,59,530330115001
449,1500000US530330115002,"Block Group 2, Census Tract 115, King County, Washington",857,674,142,142,0,0,0,0,0,0,19,0,7,15,530330115002
450,1500000US530330115003,"Block Group 3, Census Tract 115, King County, Washington",962,616,279,270,0,9,0,0,0,0,10,0,16,41,530330115003
451,1500000US530330116001,"Block Group 1, Census Tract 116, King County, Washington",1069,739,263,234,0,0,13,16,0,0,0,17,0,50,530330116001
452,1500000US530330116002,"Block Group 2, Census Tract 116, King County, Washington",573,325,48,48,0,0,0,0,0,0,29,14,16,141,530330116002
453,1500000US530330116003,"Block Group 3, Census Tract 116, King County, Washington",603,341,77,77,0,0,0,0,0,13,0,0,0,172,530330116003
454,1500000US530330116004,"Block Group 4, Census Tract 116, King County, Washington",364,297,9,6,3,0,0,0,0,0,0,0,0,58,530330116004
455,1500000US530330116005,"Block Group 5, Census Tract 116, King County, Washington",726,447,118,100,18,0,0,0,0,13,0,73,27,48,530330116005
456,1500000US530330116006,"Block Group 6, Census Tract 116, King County, Washington",595,401,78,65,0,0,0,13,0,0,19,17,0,80,530330116006
457,1500000US530330117001,"Block Group 1, Census Tract 117, King County, Washington",830,633,153,67,0,61,25,0,0,0,0,0,0,44,530330117001
458,1500000US530330117002,"Block Group 2, Census Tract 117, King County, Washington",732,526,173,105,26,0,42,0,10,0,0,14,0,9,530330117002
459,1500000US530330117003,"Block Group 3, Census Tract 117, King County, Washington",714,485,196,119,37,31,9,0,0,0,0,0,25,8,530330117003
460,1500000US530330117004,"Block Group 4, Census Tract 117, King County, Washington",356,303,42,14,18,10,0,0,0,0,11,0,0,0,530330117004
461,1500000US530330118001,"Block Group 1, Census Tract 118, King County, Washington",411,305,90,58,0,0,32,0,0,0,0,0,0,16,530330118001
462,1500000US530330118002,"Block Group 2, Census Tract 118, King County, Washington",580,436,124,44,39,15,26,0,0,0,0,0,0,20,530330118002
463,1500000US530330118003,"Block Group 3, Census Tract 118, King County, Washington",759,556,169,133,16,0,0,20,0,0,0,0,0,34,530330118003
464,1500000US530330118004,"Block Group 4, Census Tract 118, King County, Washington",655,480,175,175,0,0,0,0,0,0,0,0,0,0,530330118004
465,1500000US530330118005,"Block Group 5, Census Tract 118, King County, Washington",972,588,384,360,24,0,0,0,0,0,0,0,0,0,530330118005
466,1500000US530330118006,"Block Group 6, Census Tract 118, King County, Washington",955,717,204,108,34,0,62,0,0,0,0,34,0,0,530330118006
467,1500000US530330119001,"Block Group 1, Census Tract 119, King County, Washington",1217,1048,129,84,45,0,0,0,0,0,0,0,0,40,530330119001
468,1500000US530330119002,"Block Group 2, Census Tract 119, King County, Washington",643,480,126,25,42,19,40,0,0,5,0,0,0,32,530330119002
469,1500000US530330119003,"Block Group 3, Census Tract 119, King County, Washington",757,662,77,77,0,0,0,0,0,0,18,0,0,0,530330119003
470,1500000US530330119004,"Block Group 4, Census Tract 119, King County, Washington",1114,751,251,251,0,0,0,0,0,0,0,0,92,20,530330119004
471,1500000US530330119005,"Block Group 5, Census Tract 119, King County, Washington",524,454,70,70,0,0,0,0,0,0,0,0,0,0,530330119005
472,1500000US530330120001,"Block Group 1, Census Tract 120, King County, Washington",744,490,109,109,0,0,0,0,0,0,39,38,18,50,530330120001
473,1500000US530330120002,"Block Group 2, Census Tract 120, King County, Washington",729,562,104,91,0,0,0,13,0,0,14,12,0,37,530330120002
474,1500000US530330120003,"Block Group 3, Census Tract 120, King County, Washington",833,626,124,85,0,0,13,26,0,0,22,0,0,61,530330120003
475,1500000US530330121001,"Block Group 1, Census Tract 121, King County, Washington",548,425,72,61,0,0,11,0,0,0,0,0,0,51,530330121001
476,1500000US530330121002,"Block Group 2, Census Tract 121, King County, Washington",735,657,27,15,0,12,0,0,0,0,11,0,0,40,530330121002
477,1500000US530330201001,"Block Group 1, Census Tract 201, King County, Washington",587,477,24,24,0,0,0,0,0,0,0,50,11,25,530330201001
478,1500000US530330201002,"Block Group 2, Census Tract 201, King County, Washington",636,534,7,0,0,0,0,7,0,0,0,0,17,78,530330201002
479,1500000US530330201003,"Block Group 3, Census Tract 201, King County, Washington",445,318,83,62,0,21,0,0,0,0,0,0,0,44,530330201003
480,1500000US530330202001,"Block Group 1, Census Tract 202, King County, Washington",467,398,30,30,0,0,0,0,0,0,20,0,0,19,530330202001
481,1500000US530330202002,"Block Group 2, Census Tract 202, King County, Washington",341,251,43,43,0,0,0,0,0,0,0,0,0,47,530330202002
482,1500000US530330202003,"Block Group 3, Census Tract 202, King County, Washington",520,478,42,42,0,0,0,0,0,0,0,0,0,0,530330202003
483,1500000US530330202004,"Block Group 4, Census Tract 202, King County, Washington",358,266,49,49,0,0,0,0,0,0,0,0,0,43,530330202004
484,1500000US530330202005,"Block Group 5, Census Tract 202, King County, Washington",591,475,68,68,0,0,0,0,0,0,0,9,0,39,530330202005
485,1500000US530330203001,"Block Group 1, Census Tract 203, King County, Washington",1118,810,217,217,0,0,0,0,0,0,0,59,0,32,530330203001
486,1500000US530330203002,"Block Group 2, Census Tract 203, King County, Washington",505,365,122,122,0,0,0,0,0,0,0,0,0,18,530330203002
487,1500000US530330203003,"Block Group 3, Census Tract 203, King County, Washington",665,488,68,68,0,0,0,0,0,0,0,61,29,19,530330203003
488,1500000US530330203004,"Block Group 4, Census Tract 203, King County, Washington",811,582,152,152,0,0,0,0,0,0,17,0,0,60,530330203004
489,1500000US530330203005,"Block Group 5, Census Tract 203, King County, Washington",849,710,51,51,0,0,0,0,0,18,0,20,0,50,530330203005
490,1500000US530330204011,"Block Group 1, Census Tract 204.01, King County, Washington",1034,863,85,85,0,0,0,0,0,32,0,11,0,43,530330204011
491,1500000US530330204012,"Block Group 2, Census Tract 204.01, King County, Washington",592,411,123,123,0,0,0,0,0,0,12,0,0,46,530330204012
492,1500000US530330204013,"Block Group 3, Census Tract 204.01, King County, Washington",454,392,31,31,0,0,0,0,0,0,0,9,0,22,530330204013
493,1500000US530330204021,"Block Group 1, Census Tract 204.02, King County, Washington",734,497,206,206,0,0,0,0,0,0,0,0,0,31,530330204021
494,1500000US530330204022,"Block Group 2, Census Tract 204.02, King County, Washington",614,484,0,0,0,0,0,0,0,0,15,44,0,71,530330204022
495,1500000US530330204023,"Block Group 3, Census Tract 204.02, King County, Washington",514,452,28,14,0,0,0,14,0,0,0,18,0,16,530330204023
496,1500000US530330204024,"Block Group 4, Census Tract 204.02, King County, Washington",436,332,57,57,0,0,0,0,0,0,47,0,0,0,530330204024
497,1500000US530330204025,"Block Group 5, Census Tract 204.02, King County, Washington",779,644,89,89,0,0,0,0,0,0,0,19,0,27,530330204025
498,1500000US530330205001,"Block Group 1, Census Tract 205, King County, Washington",1015,948,17,17,0,0,0,0,0,0,0,0,0,50,530330205001
499,1500000US530330205002,"Block Group 2, Census Tract 205, King County, Washington",468,373,37,37,0,0,0,0,0,0,0,12,13,33,530330205002
500,1500000US530330205003,"Block Group 3, Census Tract 205, King County, Washington",590,445,102,102,0,0,0,0,0,0,0,0,17,26,530330205003
501,1500000US530330205004,"Block Group 4, Census Tract 205, King County, Washington",496,460,36,36,0,0,0,0,0,0,0,0,0,0,530330205004
502,1500000US530330205005,"Block Group 5, Census Tract 205, King County, Washington",787,671,31,31,0,0,0,0,0,0,16,28,0,41,530330205005
503,1500000US530330205006,"Block Group 6, Census Tract 205, King County, Washington",495,381,0,0,0,0,0,0,0,0,0,14,0,100,530330205006
504,1500000US530330206001,"Block Group 1, Census Tract 206, King County, Washington",552,373,61,61,0,0,0,0,0,0,5,6,0,107,530330206001
505,1500000US530330206002,"Block Group 2, Census Tract 206, King County, Washington",442,367,33,33,0,0,0,0,0,9,4,0,0,29,530330206002
506,1500000US530330206003,"Block Group 3, Census Tract 206, King County, Washington",604,404,184,184,0,0,0,0,0,0,0,0,0,16,530330206003
507,1500000US530330206004,"Block Group 4, Census Tract 206, King County, Washington",341,230,74,74,0,0,0,0,0,0,0,0,0,37,530330206004
508,1500000US530330207001,"Block Group 1, Census Tract 207, King County, Washington",741,468,243,243,0,0,0,0,0,0,0,12,0,18,530330207001
509,1500000US530330207002,"Block Group 2, Census Tract 207, King County, Washington",734,502,142,142,0,0,0,0,0,0,0,52,14,24,530330207002
510,1500000US530330207003,"Block Group 3, Census Tract 207, King County, Washington",780,421,316,316,0,0,0,0,0,0,0,25,0,18,530330207003
511,1500000US530330208001,"Block Group 1, Census Tract 208, King County, Washington",704,540,125,125,0,0,0,0,0,0,0,0,0,39,530330208001
512,1500000US530330208002,"Block Group 2, Census Tract 208, King County, Washington",704,493,116,116,0,0,0,0,0,0,31,9,0,55,530330208002
513,1500000US530330208003,"Block Group 3, Census Tract 208, King County, Washington",400,293,30,30,0,0,0,0,0,0,9,0,4,64,530330208003
514,1500000US530330208004,"Block Group 4, Census Tract 208, King County, Washington",355,251,25,25,0,0,0,0,0,0,0,0,0,79,530330208004
515,1500000US530330209001,"Block Group 1, Census Tract 209, King County, Washington",1081,711,266,221,45,0,0,0,0,0,0,41,8,55,530330209001
516,1500000US530330209002,"Block Group 2, Census Tract 209, King County, Washington",432,284,83,83,0,0,0,0,0,0,13,8,0,44,530330209002
517,1500000US530330209003,"Block Group 3, Census Tract 209, King County, Washington",303,213,37,37,0,0,0,0,0,0,9,27,0,17,530330209003
518,1500000US530330210001,"Block Group 1, Census Tract 210, King County, Washington",611,500,90,90,0,0,0,0,0,0,0,0,0,21,530330210001
519,1500000US530330210002,"Block Group 2, Census Tract 210, King County, Washington",565,495,39,39,0,0,0,0,0,0,0,0,0,31,530330210002
520,1500000US530330210003,"Block Group 3, Census Tract 210, King County, Washington",683,487,106,106,0,0,0,0,0,0,0,16,0,74,530330210003
521,1500000US530330210004,"Block Group 4, Census Tract 210, King County, Washington",750,509,168,168,0,0,0,0,0,0,0,49,0,24,530330210004
522,1500000US530330210005,"Block Group 5, Census Tract 210, King County, Washington",585,517,50,50,0,0,0,0,0,0,0,0,0,18,530330210005
523,1500000US530330211001,"Block Group 1, Census Tract 211, King County, Washington",955,761,122,112,10,0,0,0,0,0,26,0,12,34,530330211001
524,1500000US530330211002,"Block Group 2, Census Tract 211, King County, Washington",801,586,151,151,0,0,0,0,0,0,0,0,0,64,530330211002
525,1500000US530330211003,"Block Group 3, Census Tract 211, King County, Washington",702,462,150,150,0,0,0,0,0,0,0,50,0,40,530330211003
526,1500000US530330211004,"Block Group 4, Census Tract 211, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,530330211004
527,1500000US530330213001,"Block Group 1, Census Tract 213, King County, Washington",940,653,199,199,0,0,0,0,0,0,11,14,0,63,530330213001
528,1500000US530330213002,"Block Group 2, Census Tract 213, King County, Washington",640,433,81,81,0,0,0,0,0,0,7,38,28,53,530330213002
529,1500000US530330213003,"Block Group 3, Census Tract 213, King County, Washington",604,451,106,106,0,0,0,0,0,0,0,0,0,47,530330213003
530,1500000US530330214001,"Block Group 1, Census Tract 214, King County, Washington",458,334,24,24,0,0,0,0,0,0,0,18,0,82,530330214001
531,1500000US530330214002,"Block Group 2, Census Tract 214, King County, Washington",761,577,60,60,0,0,0,0,0,0,16,13,9,86,530330214002
532,1500000US530330214003,"Block Group 3, Census Tract 214, King County, Washington",711,608,17,17,0,0,0,0,0,0,0,10,11,65,530330214003
533,1500000US530330215001,"Block Group 1, Census Tract 215, King County, Washington",700,600,65,65,0,0,0,0,0,10,0,0,0,25,530330215001
534,1500000US530330215002,"Block Group 2, Census Tract 215, King County, Washington",571,386,158,138,8,12,0,0,0,0,0,9,0,18,530330215002
535,1500000US530330215003,"Block Group 3, Census Tract 215, King County, Washington",721,512,58,58,0,0,0,0,0,15,9,5,0,122,530330215003
536,1500000US530330215004,"Block Group 4, Census Tract 215, King County, Washington",565,503,40,40,0,0,0,0,0,0,11,0,0,11,530330215004
537,1500000US530330216001,"Block Group 1, Census Tract 216, King County, Washington",747,588,73,73,0,0,0,0,0,0,0,8,0,78,530330216001
538,1500000US530330216002,"Block Group 2, Census Tract 216, King County, Washington",738,521,134,134,0,0,0,0,0,8,0,0,7,68,530330216002
539,1500000US530330216003,"Block Group 3, Census Tract 216, King County, Washington",693,467,63,54,0,0,0,9,0,0,0,0,0,163,530330216003
540,1500000US530330216004,"Block Group 4, Census Tract 216, King County, Washington",592,494,17,17,0,0,0,0,0,0,6,14,0,61,530330216004
541,1500000US530330217001,"Block Group 1, Census Tract 217, King County, Washington",798,675,109,109,0,0,0,0,0,0,0,0,0,14,530330217001
542,1500000US530330217002,"Block Group 2, Census Tract 217, King County, Washington",1184,948,147,147,0,0,0,0,0,0,0,0,0,89,530330217002
543,1500000US530330217003,"Block Group 3, Census Tract 217, King County, Washington",912,602,159,159,0,0,0,0,0,0,0,16,42,93,530330217003
544,1500000US530330217004,"Block Group 4, Census Tract 217, King County, Washington",796,633,133,133,0,0,0,0,0,0,16,0,0,14,530330217004
545,1500000US530330217005,"Block Group 5, Census Tract 217, King County, Washington",1137,877,120,120,0,0,0,0,0,0,16,17,0,107,530330217005
546,1500000US530330218021,"Block Group 1, Census Tract 218.02, King County, Washington",1294,1116,93,93,0,0,0,0,0,0,0,22,0,63,530330218021
547,1500000US530330218022,"Block Group 2, Census Tract 218.02, King County, Washington",1376,1181,37,37,0,0,0,0,0,0,0,29,19,110,530330218022
548,1500000US530330218023,"Block Group 3, Census Tract 218.02, King County, Washington",703,615,30,30,0,0,0,0,0,0,12,8,0,38,530330218023
549,1500000US530330218031,"Block Group 1, Census Tract 218.03, King County, Washington",815,696,63,63,0,0,0,0,0,0,0,40,0,16,530330218031
550,1500000US530330218032,"Block Group 2, Census Tract 218.03, King County, Washington",739,530,46,46,0,0,0,0,0,0,110,34,0,19,530330218032
551,1500000US530330218033,"Block Group 3, Census Tract 218.03, King County, Washington",616,510,54,54,0,0,0,0,0,0,12,24,0,16,530330218033
